region,channel,A,scenario,kappa,dTFP_pct
rUK,complementarity,0.1464113725941204,central,0.144,2.1083237653553337
rUK,complementarity,0.1464113725941204,hi,0.27,3.953107060041251
rUK,complementarity,0.1464113725941204,lo,0.11,1.6105250985353243
rUK,composite,0.15337969913585303,central,0.144,2.2086676675562833
rUK,composite,0.15337969913585303,hi,0.27,4.141251876668032
rUK,composite,0.15337969913585303,lo,0.11,1.6871766904943835
rUK,substitution,0.08889865649167161,central,0.144,1.280140653480071
rUK,substitution,0.08889865649167161,hi,0.27,2.4002637252751335
rUK,substitution,0.08889865649167161,lo,0.11,0.9778852214083877
Scotland,complementarity,0.1442127024292133,central,0.144,2.0766629149806715
Scotland,complementarity,0.1442127024292133,hi,0.27,3.893742965588759
Scotland,complementarity,0.1442127024292133,lo,0.11,1.5863397267213464
Scotland,composite,0.15139414906256254,central,0.144,2.1800757465009006
Scotland,composite,0.15139414906256254,hi,0.27,4.087642024689188
Scotland,composite,0.15139414906256254,lo,0.11,1.665335639688188
Scotland,substitution,0.08808396698394255,central,0.144,1.2684091245687725
Scotland,substitution,0.08808396698394255,hi,0.27,2.378267108566449
Scotland,substitution,0.08808396698394255,lo,0.11,0.968923636823368
