soc_uk,classification,E_uk,sigma_Scotland,sigma_rUK_exLondon,dsigma,contribution
926,Complemented,46.347837608514375,0.03900001310770602,0.03193113949540555,0.0070688736123004706,-0.001412702061786173
113,Complemented,77.52041328843603,0.02680806760580259,0.03937157410080594,-0.01256350649500335,-0.0014055737106309675
613,Complemented,51.20671772745945,0.05252641670895462,0.04342369895757756,0.009102717751377054,-0.0013768721224147822
922,Unexposed,39.115021719599454,0.02313519475242352,0.01865144037087014,0.004483754381553382,-0.0012203721918528075
213,Complemented,80.92705559705641,0.03441886985358692,0.04033457520121508,-0.005915705347628156,-8.633612522519227e-4
543,Complemented,52.72531119901144,0.01513256572110172,0.01183170198158662,0.0033008637395151013,-4.491601476817223e-4
355,Complemented,78.26310193554428,0.02448594385782258,0.02744419415989468,-0.002958250302072099,-3.5293224031552695e-4
124,Complemented,77.72986740244394,0.00395927622992414,0.00684902545392181,-0.00288974922399767,-3.2935062037145176e-4
412,Substituted,80.54391496067151,0.02084031630767156,0.02308590171005866,-0.0022455854023871007,-3.191257953246706e-4
323,Complemented,53.69526376960927,0.00685139793684707,0.00456785308024379,0.00228354485660328,-2.8858068440563696e-4
911,Unexposed,40.38060432396397,0.00347541462482936,0.0024513395092599,0.00102407511556946,-2.657685767949175e-4
353,Complemented,83.43373208565374,0.00660094712538644,0.00806728664157582,-0.00146633951618938,-2.5075973095083407e-4
415,Substituted,80.78283597516783,0.01997324155442413,0.02153354652614781,-0.0015603049717236792,-0.00022546676443548958
112,Complemented,75.82028318011841,0.01164694581087078,0.01387111765988602,-0.002224171849015239,-2.1102097302711943e-4
414,Complemented,76.3348974301453,0.00729574917093759,0.00934165400015978,-0.0020459048292221895,-2.0463619340937257e-4
125,Complemented,73.69340682273217,0.01324000022470353,0.01577522728723388,-0.0025352270625303482,-1.8661156465501024e-4
421,Substituted,78.5454804871788,0.01431455123895909,0.01579981303197991,-0.0014852617930208208,-1.8139230921008343e-4
612,Complemented,48.331214155277536,0.00433930607804328,0.00337062114983249,9.686849282107904e-4,-1.7437732363043585e-4
115,Complemented,75.66804795291523,0.0076914146398096,0.00941856421540347,-0.0017271495755938702,-1.6123605836350225e-4
352,Substituted,80.64670271023923,9.415077981488174e-4,0.00204510230475592,-0.001103594506607103,-1.5796895385136197e-4
243,Complemented,80.28966007405026,0.01538985126498725,0.0164359081821152,-0.00104605691712795,-1.4599813135968148e-4
241,Complemented,71.5672290567465,0.00649140415364478,0.00877104889299493,-0.0022796447393501496,-1.1932950547609868e-4
331,Complemented,59.546861923420714,0.0149564543280709,0.01320337070935823,0.0017530836187126704,-1.189607703512792e-4
413,Substituted,77.4616205463949,0.01268404623649672,0.0137060647345662,-0.0010220184980694793,-1.1374000285465475e-4
511,Complemented,47.383828678656734,0.01196518218775103,0.0113882389566981,5.769432310529302e-4,-1.0932401805966147e-4
248,Complemented,77.6500938491124,0.00562479753275522,0.00652403381354422,-8.99236280789e-4,-1.0177044256630279e-4
117,Complemented,74.01773004359251,0.0023672517072787,0.00368869687651625,-0.0013214451692375503,-1.0155394472830875e-4
354,Complemented,81.58269960566972,0.01028336987886607,0.01094044996679892,-6.570800879328494e-4,-1.0020495270918424e-4
544,Complemented,54.1508119955167,0.00378634813692684,0.00299036788700857,7.959802499182696e-4,-9.696512955912781e-5
532,Unexposed,31.69713541707476,0.00572806753090141,0.0055549613479249,1.731061829765108e-4,-5.9956240076392976e-5
813,Complemented,57.709028997596874,0.00364693832075305,0.00296971398464749,6.772243361055602e-4,-5.840134938777203e-5
232,Complemented,70.3665219924158,0.00686150959577707,0.0082438535778893,-0.0013823439821122295,-5.576180444272321e-5
341,Complemented,64.14482100378198,0.0146806307428137,0.01215379400550371,0.00252683673730999,-5.528320004146487e-5
342,Complemented,73.99302783723435,0.0017325578564781,0.00244307231799224,-7.105144615141398e-4,-5.4427998644197094e-5
249,Complemented,75.93463380223339,0.00478730874452519,0.00534238849459214,-5.550797500669495e-4,-5.329859449219963e-5
912,Unexposed,33.025504701282514,0.00455268080676058,0.00441095473972714,1.4172606703344044e-4,-4.720492576248898e-5
123,Complemented,73.05369883509142,0.0026118976775017402,0.00321093579931981,-5.990381218180696e-4,-4.0261565712683064e-05
214,Complemented,82.49521150382125,0.00406516776927441,0.00430253348217155,-2.3736571289713956e-4,-3.836434803442207e-5
541,Unexposed,40.81673677199487,0.00137733902332609,0.00125133933659665,1.2599968672943993e-4,-3.214998734909802e-5
524,Complemented,57.105807941356154,0.01300565316635364,0.01265724812434696,3.4840504200668067e-4,-3.214682889469436e-5
921,Complemented,57.244774857007656,0.00478169115623074,0.00446651664607876,3.151745101519802e-4,-2.8642707527405324e-5
357,Complemented,74.91468270960206,0.01175536526495355,0.01207069043471331,-3.1532516975976005e-4,-2.7061267628267652e-5
111,Complemented,70.56540487779066,0.00386003217005563,0.00449566295263646,-6.356307825808303e-4,-2.690460913340858e-5
114,Complemented,81.51308003939866,7.04632825066428e-4,8.51764681241409e-4,-1.4713185617498095e-4,-2.233522908994368e-5
722,Complemented,75.02455132806892,0.00118709003308759,0.00140583540587095,-2.1874537278335996e-4,-1.9013103115959943e-5
822,Complemented,50.311726716848455,0.00452468649175993,0.00440763284902481,1.1705364273511924e-4,-1.8753089738663272e-5
224,Complemented,63.260606751824795,0.00151262927475062,9.588628128392916e-4,5.537664619113283e-4,-1.701201822932803e-5
246,Complemented,65.21405513100645,0.00779290573499589,0.00661843556627135,0.00117447016872454,-1.3137717923312892e-5
523,Complemented,48.64374087243176,0.0085640133548799,0.00852539789071951,3.861546416038947e-5,-6.830659456764875e-6
823,Complemented,64.5796990294337,0.00309135883843254,0.00280245584939816,2.8890298903438017e-4,-5.064365848087259e-6
221,Complemented,72.25480220992335,0.00990371453663323,0.00993274409998898,-2.9029563355749063e-5,-1.7191710996572998e-6
324,Complemented,49.86073228579899,8.223212998350302e-4,8.190431194362905e-4,3.2781803987396796e-6,-5.399796100991229e-7
621,Substituted,66.29701783496962,0.0066072200989819,0.00545977134994637,0.0011474487490355303,-4.0901214666445117e-7
116,Complemented,66.52463897938065,0.00202064650951151,0.00187618322415542,1.4446328535608994e-4,2.7733453667303576e-7
816,Complemented,65.41021107363798,7.84308952375959e-4,0.00115411303838534,-3.698040860093811e-4,3.4112656069190483e-6
542,Complemented,60.77907874521035,8.519072648524353e-4,9.161849627992346e-4,-6.427769794679927e-5,3.5697162327533455e-6
121,Complemented,67.73030395350693,0.00206287204819141,0.00174221906690567,3.2065298128574e-4,4.481576785273025e-6
525,Complemented,74.47000847654536,0.00153538050734312,0.00146881995500658,6.656055233654002e-5,5.41626197021206e-6
521,Complemented,48.280810530415806,0.00260543745096313,0.0026358639690637,-3.042651810056989e-5,5.492550216062424e-6
222,Complemented,70.97716819913543,0.00891923218803191,0.00877615371938495,1.4307846864696112e-4,6.645286647507132e-6
122,Complemented,72.2216034745003,0.00873797133906452,0.00854403426059189,1.9393707847262937e-4,1.1420838746456995e-5
244,Complemented,74.65674053554942,0.00797538372809374,0.00781783517112401,1.5754855696973116e-4,1.3114463743587404e-5
624,Complemented,67.46546434879612,0.0032987414729691,0.00207346036606222,0.00122528110690688,1.387999861355935e-5
343,Complemented,56.98122082973423,0.00546254285751736,0.00561134903501608,-1.4880617749872017e-4,1.3915523912934518e-5
215,Complemented,75.9058741302465,0.00318367453940457,0.00301513192532337,1.685426140812002e-4,1.613493997515198e-5
533,Complemented,69.70134172602287,0.00206605534822493,0.00155891451046713,5.071408377578001e-4,1.7083944563857305e-5
231,Complemented,61.87150838771335,0.04391652638300342,0.04432346214430597,-4.069357613025529e-4,1.815403424561166e-5
225,Complemented,67.93222282643836,0.01111140239346712,0.00975207641159381,0.0013593259818733099,2.1743229773612414e-5
322,Complemented,67.11915210698417,0.01592998237949805,0.01293136979439317,0.0029986125851048807,2.3583755733264882e-5
321,Complemented,63.355105224006515,0.00362306357050166,0.00452571949478208,-9.0265592428042e-4,2.687710335239675e-5
247,Complemented,70.58090081714576,0.0018982767111642,0.00124683507801723,6.5144163314697e-4,2.7674788597386854e-5
312,Complemented,81.90837540677268,0.00206980040708789,0.00187549820149646,1.9430220559142988e-4,3.0263952379473222e-5
631,Complemented,57.93549635005165,3.657049979683055e-4,7.28141550980259e-4,-3.624365530119535e-4,3.0434402034720382e-5
