component,rho,quantity,mean,sd,p2.5,p97.5,p_sign
scoring,0,Ebar_Scotland,0.6582454799084584,9.232939275427308e-4,0.6563710712005252,0.6600616360167124,NA
scoring,0,Ebar_rUK,0.6668788825146188,9.083751956217959e-4,0.6650720877199586,0.6686608993599126,NA
scoring,0,Delta_Ebar,-0.008633402606160454,1.7141864403616178e-4,-0.008971533173659283,-0.008302017781922605,1
scoring,0.2,Ebar_Scotland,0.6584541865217727,0.00310992077565886,0.6524287563004258,0.6643470209457442,NA
scoring,0.2,Ebar_rUK,0.6670912203238973,0.0030994217397275555,0.6607757757205848,0.6729734528441992,NA
scoring,0.2,Delta_Ebar,-0.00863703380212475,3.0712830359925835e-4,-0.009221651616173446,-0.008012243249801387,1
scoring,0.4,Ebar_Scotland,0.6583177881589637,0.004485062556089774,0.6493364280952258,0.6667859585658614,NA
scoring,0.4,Ebar_rUK,0.6669615786640142,0.004470073472417815,0.6581815777330975,0.675469689294556,NA
scoring,0.4,Delta_Ebar,-0.008643790505050541,3.868088987547402e-4,-0.00938325073244467,-0.00788067071658662,1
sampling,0,Ebar_Scotland,0.6582383154431105,9.176266783284189e-4,0.6563071930648744,0.6599411510444393,NA
sampling,0,Ebar_rUK,0.6668734866678516,3.3887890732436785e-4,0.6662449106034367,0.6675530216301352,NA
sampling,0,Delta_Ebar,-0.00863517122474103,9.89373074791726e-4,-0.010697334269803127,-0.006897558384788782,1
composed,0,Ebar_Scotland,0.6582420121045952,0.0012911739039741376,0.6555116388889088,0.6607313249134331,NA
composed,0,Ebar_rUK,0.6668714442480359,9.751428241982371e-4,0.6650309978218846,0.6687310943772171,NA
composed,0,Delta_Ebar,-0.008629432143440684,0.0010060049830324723,-0.010690287900721674,-0.0068809103732420775,1
composed,0.2,Ebar_Scotland,0.6582744752426919,0.003191101295439417,0.6521266162223631,0.6644341732574948,NA
composed,0.2,Ebar_rUK,0.6668930716866415,0.00307708818490613,0.6609269055908801,0.6729138294180468,NA
composed,0.2,Delta_Ebar,-0.008618596443949621,0.0010342447966395477,-0.01085827003413366,-0.006766945948300174,1
composed,0.4,Ebar_Scotland,0.658402464312449,0.004606426523968192,0.6491777351663061,0.6673678656824883,NA
composed,0.4,Ebar_rUK,0.6670558698947253,0.004452880270333106,0.6582094007346199,0.6753845085620506,NA
composed,0.4,Delta_Ebar,-0.008653405582276352,0.001081642430369706,-0.010913467925803137,-0.006747699927127329,1
